name,code,genre
Animal Crossing,AC,simulation;multiplayer
Call of Duty,COD,first-person-shooter;multiplayer
Counter Strike: Global Offensive,CSGO,first-person-shooter;multiplayer
DOTA 2,DOTA,moba;
League Of Legends,LOL,moba;
GTA 5,GTA,action;multiplayer
Fortnite,FORT,first-person-shooter;battle-royale
HeartStone,HRTSTN,card;multiplayer
VALRONT,VAL,first-person-shooter;multiplayer
Teamfight Tactics,TFT,strategy;mobile;moba
World Of Warcraft,WOW,role-playing;multiplayer
Art,ART,creative;
Last Oasis,LOA,role-playing;multiplayer
FIFA 20,FIFA,sport;multiplayer
NBA 2K,NBA,sport;multiplayer;simulation
Apex Legends,AL,first-person-shooter;multiplayer
Just Chatting,JC,irl